group,start_index,start_x,start_y,predicted_x,predicted_y,true_x,true_y,error_x,error_y,position_error,yaw_error
1.0,3.0,80.1409453306529,-171.4835698419849,80.0475184954921,-171.53555095590883,80.14329948065486,-171.4822717321367,-0.09578098516276157,-0.053279223772136675,0.10960233941166841,-0.0004674667106088215
1.0,8.0,80.14210867299539,-171.48292835749936,80.04866200860843,-171.53492022029982,80.144442882317,-171.48164125083133,-0.09578087370856281,-0.05327896946849364,0.10960211839193773,-0.00046760929032751974
1.0,13.0,80.14329948065486,-171.4822717321367,80.04983263892392,-171.53427448401834,80.14551226690631,-171.48105158675799,-0.09567962798239193,-0.053222897260354785,0.1094863827315306,-0.000467841355675791
1.0,18.0,80.144442882317,-171.48164125083133,80.05095648407595,-171.5336547030111,80.14660697927378,-171.48044796040108,-0.09565049519783031,-0.05320674261002978,0.10945307072330185,-0.0004679042838984237
1.0,23.0,80.14551226690631,-171.48105158675799,80.05200787068149,-171.5330747514266,80.14774840809734,-171.4798185785285,-0.09574053741584976,-0.05325617289810225,0.10955578696001543,-0.00046802710634796796
1.0,28.0,80.14660697927378,-171.48044796040108,80.05308418290173,-171.53248109573852,80.14879629479192,-171.47924077937563,-0.0957121118901938,-0.05324031636288851,0.10952323794018068,-0.00046817045172353744
1.0,33.0,80.14774840809734,-171.4798185785285,80.05420625838035,-171.53186225802966,80.14982290454576,-171.47867471577925,-0.09561664616541066,-0.05318754225041289,0.10941415664602454,-0.00046830025230937267
1.0,38.0,80.14879629479192,-171.47924077937563,80.05523666950036,-171.53129390290277,80.15084174928208,-171.478112937357,-0.09560507978171984,-0.05318096554577778,0.10940085180861352,-0.0004684499897833483
1.0,43.0,80.14982290454576,-171.47867471577925,80.05624600143796,-171.5307372592824,80.15184691262992,-171.4775587062586,-0.09560091119196557,-0.05317855302379826,0.10939603613677697,-0.0004685190507500714
1.0,48.0,80.15084174928208,-171.478112937357,80.05726418918495,-171.52963385472628,80.15285992372233,-171.4770011295435,-0.09559573453738324,-0.052632725182775175,0.10912721118908601,-0.0010570400071183705
1.0,53.0,80.15184691262992,-171.4775587062586,80.09850354489599,-171.50484507097053,80.15185046568631,-171.47749983184133,-0.05334692079031811,-0.027345239129203947,0.0599471105295478,-0.00201306660266809
1.0,58.0,80.15285992372233,-171.4770011295435,80.09191847282621,-171.50721657548772,80.14138562037405,-171.48270762883269,-0.04946714754784409,-0.02450894665503256,0.05520586157881616,-0.001786767384440946
1.0,63.0,80.15185046568631,-171.47749983184133,80.06828252369719,-171.5201754865053,80.11636802414682,-171.4952722812435,-0.04808550044963056,-0.02490320526180767,0.054151500309808094,-0.001111660245761481
1.0,68.0,80.14138562037405,-171.48270762883269,80.04890251697641,-171.52952777834892,80.0680761329928,-171.5194414503463,-0.01917361601638845,-0.010086328002614664,0.021664753950142994,-9.843036124390636e-05
1.0,73.0,80.11636802414682,-171.4952722812435,80.0099643827279,-171.5485184732045,79.99192466175323,-171.55725319479944,0.018039720974670104,0.008734721594947814,0.020043125858637923,0.0012493225942824537
1.0,78.0,80.0680761329928,-171.5194414503463,79.93916898597557,-171.5828002139331,79.8818012551185,-171.61132763708224,0.05736773085706659,0.028527423149142805,0.06406926263988902,0.002360932768471713
1.0,83.0,79.99192466175323,-171.55725319479944,79.82918028822081,-171.6354275192537,79.73611204690415,-171.6817754529146,0.09306824131665792,0.046347933660882745,0.1039703250760007,0.0028697491901805705
1.0,88.0,79.8818012551185,-171.61132763708224,79.66639809988891,-171.711819699203,79.55313504561103,-171.76850902481044,0.11326305427787986,0.05668932560743656,0.1266578031634053,0.0019513116990399482
1.0,93.0,79.73611204690415,-171.6817754529146,79.43782076062837,-171.81600607350924,79.32859054019379,-171.87232079821445,0.10923022043458275,0.056314724705202934,0.12289259243262113,-0.0011656413697513912
1.0,98.0,79.55313504561103,-171.76850902481044,79.12729019879673,-171.95216880689023,79.06550723338074,-171.99032121229638,0.06178296541598627,0.0381524054061515,0.07261364096275777,-0.007483791477300716
1.0,103.0,79.32859054019379,-171.87232079821445,78.76034131524648,-172.10701121385392,78.77046672834443,-172.11806494238434,-0.010125413097952674,0.01105372853041331,0.01499029368719188,-0.014361321969134089
1.0,108.0,79.06550723338074,-171.99032121229638,78.38401405793454,-172.2607662827346,78.45205446383046,-172.25058523001363,-0.0680404058959283,-0.010181052720980688,0.0687978972715741,-0.01812323857960152
1.0,113.0,78.77046672834443,-172.11806494238434,78.03218869958225,-172.4135782582165,78.1051481092452,-172.40279853220812,-0.07295940966295689,-0.010779726008365742,0.07375146067151894,-0.01778181423684888
1.0,118.0,78.45205446383046,-172.25058523001363,77.77442461122043,-172.54824427606923,77.75893858245341,-172.58026875269437,0.015486028767014659,0.03202447662513919,0.03557223903673891,-0.019409574111243444
1.0,123.0,78.1051481092452,-172.40279853220812,77.36467734146927,-172.79363943189708,77.38259831798,-172.78148503942109,-0.017920976510723108,-0.012154392475991926,0.021653883151950794,0.005719613328682982
1.0,128.0,77.75893858245341,-172.58026875269437,76.99497312767427,-173.01770556447784,77.00033423342363,-172.9936534243256,-0.00536110574935833,-0.02405214015223578,0.02464238017640738,0.0174955574562059
1.0,133.0,77.38259831798,-172.78148503942109,76.59952281298585,-173.24357363267325,76.62046545524586,-173.21397622224316,-0.020942642260010302,-0.029597410430085347,0.03625742639788012,0.015290965102351617
1.0,138.0,77.00033423342363,-172.9936534243256,76.20607277283398,-173.48160304718942,76.22092280873899,-173.4562530658621,-0.014850035905013215,-0.0253499813273379,0.029379331504929825,0.014127552933970389
1.0,143.0,76.62046545524586,-173.21397622224316,75.82060979000705,-173.72608613554252,75.82817253303251,-173.70529598049518,-0.007562743025459895,-0.02079015504733661,0.022122966097732875,0.013432291395596874
1.0,148.0,76.22092280873899,-173.4562530658621,75.41911252222049,-173.99217758017042,75.41715918233865,-173.97793707880476,0.0019533398818367687,-0.014240501365662794,0.014373844852349632,0.01257418715943981
1.0,153.0,75.82817253303251,-173.70529598049518,75.02754597974067,-174.26350306724828,75.01914443401944,-174.25415519442447,0.008401545721227421,-0.009347872823809666,0.012568559855289473,0.011912611592120646
1.0,158.0,75.41715918233865,-173.97793707880476,74.62041609565522,-174.5585593284527,74.62913776472129,-174.53698377333117,-0.008721669066076743,-0.021575555121529533,0.023271701487006042,0.012538680038939544
1.0,163.0,75.01914443401944,-174.25415519442447,74.22828474877866,-174.8557907031606,74.21502411817514,-174.85109471301627,0.01326063060352567,-0.004695990144341522,0.0140675743267599,0.011120346725494556
1.0,168.0,74.62913776472129,-174.53698377333117,73.84851629036739,-175.15558329096558,73.82439202969731,-175.16105646698801,0.024124260670078,0.005473176022434245,0.024737332286453636,0.00972293080205766
1.0,173.0,74.21502411817514,-174.85109471301627,73.52778198521905,-175.3981077921195,73.41849225525193,-175.47421198969892,0.1092897299671165,0.07610419757941145,0.13317692730158381,0.006049818193845535
1.0,178.0,73.82439202969731,-175.16105646698801,73.2292100285208,-175.5937090224499,72.99258992804252,-175.7512768604493,0.23662010047827664,0.15756783799940877,0.28428277387516404,0.01498032851498099
1.0,183.0,73.41849225525193,-175.47421198969892,72.61855711475916,-175.98092229193367,72.53197271439086,-176.00851080818413,0.08658440036829518,0.02758851625046077,0.09087345385776403,0.01838381700406533
1.0,188.0,72.99258992804252,-175.7512768604493,72.15952013649549,-176.2158739258489,72.08060323698187,-176.23669000010455,0.07891689951361514,0.020816074255634476,0.08161608895467926,0.014848183156579875
1.0,193.0,72.53197271439086,-176.00851080818413,71.675699578663,-176.4329222954266,71.59453207126539,-176.45627744835107,0.08116750739760903,0.023355152924466438,0.08446080407660189,0.011783004222183369
1.0,198.0,72.08060323698187,-176.23669000010455,71.20494949692832,-176.62455066203682,71.13637980329062,-176.63929917619978,0.06856969363769849,0.014748514162960191,0.07013787532840488,0.010588401985335505
1.0,203.0,71.59453207126539,-176.45627744835107,70.70105130924641,-176.8040423523702,70.62732580364934,-176.81677871092623,0.07372550559706781,0.012736358556026062,0.07481754476599012,0.011140266079894712
1.0,208.0,71.13637980329062,-176.63929917619978,70.22863721354041,-176.94916834031878,70.10206609058743,-176.97291548676134,0.12657112295298134,0.023747146442559597,0.12877956409983335,0.01616219078015879
1.0,213.0,70.62732580364934,-176.81677871092623,69.70012195790744,-177.09000749021342,69.62600142299921,-177.09153532285706,0.07412053490823212,0.0015278326436316547,0.07413627969941168,0.015888804456851705
1.0,218.0,70.10206609058743,-176.97291548676134,69.20095315972763,-177.19534791136965,69.08819221444557,-177.20030098268964,0.11276094528206215,0.004953071319988567,0.11286967571675356,0.018791135222053335
1.0,223.0,69.62600142299921,-177.09153532285706,68.75075732016842,-177.26486915180925,68.58916260901442,-177.27811558744997,0.16159471115399526,0.01324643564072403,0.16213672850445393,0.018760661154971103
1.0,228.0,69.08819221444557,-177.20030098268964,68.21441022180392,-177.33040211972877,68.10984453661013,-177.33231243822303,0.10456568519379061,0.0019103184942537155,0.10458313361530343,0.012933213275120535
1.0,233.0,68.58916260901442,-177.27811558744997,67.73203680235434,-177.38156378945735,67.6755089978106,-177.37903534383307,0.05652780454374806,-0.0025284456242786746,0.05658432401125879,0.007539380119768513
1.0,238.0,68.10984453661013,-177.33231243822303,67.37512583919889,-177.4258735842007,67.25161273488095,-177.45123126565235,0.1235131043179365,0.02535768145165207,0.12608924992582407,-0.008873895360180128
1.0,243.0,67.6755089978106,-177.37903534383307,66.9235485645216,-177.49099849821914,66.89315888043551,-177.5424181396505,0.030389684086088664,0.05141964143135169,0.059728656638007936,-0.03962765894447351
1.0,248.0,67.25161273488095,-177.45123126565235,66.58162874564117,-177.6148852128399,66.5861220404615,-177.631621804462,-0.004493294820335336,0.016736591622077412,0.017329258422293905,-0.012842825112120424
1.0,253.0,66.89315888043551,-177.5424181396505,66.26511152724794,-177.7288832194955,66.26733897305849,-177.73274261667456,-0.002227445810547124,0.0038593971790703563,0.004456058956605058,-0.0022126427643325286
1.0,258.0,66.5861220404615,-177.631621804462,65.99352145027535,-177.8247405553932,65.98884053902609,-177.82945592974804,0.004680911249266728,0.004715374354844926,0.006644221958201051,-0.0017936239975626656
